english,vietnamse
abate,"giảm bớt, lắng xuống"
aberration,sự lệch chuẩn; điều khác thường
abhor,căm ghét
abide by,tuân thủ
abrupt,đột ngột; thiếu sự chuyển tiếp trong lập luận
abstain,"kiêng, tránh"
acclaim,tán dương; lời khen ngợi
account for,giải thích nguyên nhân
accrue,"tích lũy, phát sinh dần"
accuse,buộc tội
acknowledge,thừa nhận; công nhận
acquiesce,miễn cưỡng đồng ý
acquit,tuyên trắng án
acute,nghiêm trọng; sắc bén
adverse,bất lợi
advocate,ủng hộ; người ủng hộ
aggregate,tổng hợp; cộng gộp
albeit,mặc dù
alternative explanation,cách giải thích khác
ambiguous,mơ hồ
ambivalent,"nước đôi, vừa thích vừa không"
ameliorate,cải thiện
anachronistic,"lạc hậu, sai thời"
analogous,tương tự
analogy,phép so sánh tương tự
anecdotal,"mang tính giai thoại, không đủ bằng chứng"
anomaly,điểm bất thường cần được giải thích
antagonistic,đối kháng
apathy,sự thờ ơ
appeal,kháng cáo
appeal against,kháng cáo (chống lại phán quyết)
appraise,đánh giá
arbitrary,tùy tiện
arduous,"gian khổ, khó khăn"
articulate,diễn đạt rõ ràng
ascertain,"xác định, làm rõ"
assault,hành hung
assert,khẳng định
assess,đánh giá dựa trên tiêu chí
assiduous,"chăm chỉ, cần mẫn"
assumption,giả định nền tảng của lập luận
attenuate,làm suy giảm
attribute (to),quy cho; gán cho
attribute to,quy nguyên nhân cho
augment,tăng cường
austere,khắc khổ; nghiêm ngặt
authentic,xác thực
avert,ngăn chặn
bailiff,nhân viên giữ trật tự phiên tòa
beyond a reasonable doubt,không còn nghi ngờ hợp lý
bias,thiên lệch trong mẫu hoặc lập luận
biased sample,mẫu thiên lệch
bolster,củng cố lập luận
broadly,một cách rộng rãi
burden of proof,gánh nặng chứng minh
burgeon,phát triển nhanh
buttress,chống đỡ lập luận
call into question,đặt nghi vấn
candid,thẳng thắn
capricious,thất thường
case,vụ án
cast doubt on,gây nghi ngờ
catalyst,chất xúc tác
causal,thuộc quan hệ nhân quả
cause-and-effect,nguyên nhân – kết quả
cautionary,mang tính cảnh báo
caveat,lời cảnh báo/điều kiện kèm theo
charge,cáo buộc
claim,luận điểm
claimant,nguyên đơn (thường dùng Anh)
coherent,mạch lạc
coincide,xảy ra đồng thời nhưng không nhất thiết có quan hệ nhân quả
coincidence,sự trùng hợp
collate,đối chiếu; tổng hợp
community service,lao động công ích
comparison,so sánh
compelling,thuyết phục mạnh về mặt logic
compensate,bù đắp
complacent,tự mãn
complement,bổ sung cho nhau
comprise,bao gồm
concede,nhượng bộ; thừa nhận
conclusion,kết luận của lập luận
conclusive,kết luận dứt khoát
concur,đồng ý
conduct (n.),hành vi
confound,làm nhiễu mối quan hệ nhân quả
confounding factor,yếu tố gây nhiễu
conjecture,suy đoán
consequently,vì vậy
constrain,hạn chế
contend,cho rằng
contradict,mâu thuẫn
conventional,thông thường; truyền thống
convict,kết tội
correlation,mối tương quan (không chắc là nhân quả)
corroborate,xác nhận bằng chứng
counterargument,lập luận phản biện
counterintuitive,trái với trực giác
court clerk,thư ký tòa
courtroom,phòng xử án
cross-examine,thẩm vấn chéo
crucial,mang tính quyết định
culminate,đạt đỉnh; kết thúc bằng
cursory,"lướt qua, qua loa"
deem,cho rằng
defend,bào chữa
defendant,bị cáo
defense attorney,luật sư bào chữa
defense lawyer,luật sư bào chữa
definitive,dứt khoát; mang tính quyết định
delineate,"vạch rõ, mô tả rõ"
demonstrate,chứng minh; thể hiện
depict,miêu tả
deplete,làm cạn kiệt
derive,rút ra; bắt nguồn
detrimental,gây hại
deviate,lệch khỏi
diagnose,chẩn đoán; xác định nguyên nhân
discrepancy,sự mâu thuẫn giữa dữ kiện
discrete,tách biệt
disinterested,không vụ lợi; khách quan
disparate,khác biệt
disseminate,phổ biến (thông tin)
distort,bóp méo thông tin
diverge,"phân kỳ, khác nhau"
dogmatic,giáo điều
draw a conclusion,rút ra kết luận
dubious,đáng ngờ
duration,khoảng thời gian
economical,tiết kiệm
elicit,gợi ra; thu được
eliminate,loại bỏ
empirical,thực nghiệm
encroach,xâm lấn
endemic,đặc hữu; phổ biến trong khu vực
endorse,tán thành; chứng thực
enhance,nâng cao
ensue,xảy ra sau đó
entail,hàm ý
entrenched,"ăn sâu, khó thay đổi"
equivocal,mơ hồ; nước đôi
eradicate,xóa bỏ
erroneous,sai
eschew,tránh
establish,thiết lập; chứng minh
estimate,ước tính
evidence,bằng chứng hỗ trợ lập luận
exacerbate,làm trầm trọng thêm
exacting,khắt khe; đòi hỏi cao
exception,ngoại lệ
exemplify,minh họa
exhaustive,toàn diện
expedite,đẩy nhanh
expert witness,nhân chứng chuyên môn
explain away,giải thích để loại bỏ mâu thuẫn
explicit,rõ ràng
exposure,sự phơi nhiễm; mức độ tiếp xúc
extrapolate,ngoại suy
feasible,khả thi
felony,trọng tội
fine,phạt tiền
flawed,có lỗi logic
flawed analogy,so sánh khập khiễng
fluctuate,dao động
foresee,dự đoán trước
fortuitous,"tình cờ, may mắn"
fraud,gian lận
frugal,tiết kiệm
fundamental,cơ bản
futile,vô ích
generalization,sự khái quát hóa
generalize,khái quát hóa
germane,liên quan trực tiếp
hamper,cản trở
hearing,phiên điều trần
hence,do đó
heterogeneous,không đồng nhất
hidden variable,biến ẩn
hypothesis,giả thuyết cần được kiểm chứng
illuminate,làm sáng tỏ
implicit,"hàm ý, không nói trực tiếp"
implicit assumption,giả định hàm ý
imply,ngụ ý
impose,áp đặt
imprisonment,phạt tù
in accordance with the law,phù hợp với pháp luật
inadvertent,vô ý
incentive,động lực/khuyến khích
inconclusive,chưa kết luận được
inconsistent,không nhất quán
incur,gánh chịu (chi phí)
indicate,chỉ ra
inevitable,không thể tránh
infer,suy ra
inference,kết luận suy ra
inflate,làm phồng; thổi phồng
inhibit,ức chế; cản trở
innovative,đổi mới
insight,sự thấu hiểu
integral,thiết yếu
intermittent,gián đoạn
interpretation,cách diễn giải
intrinsic,nội tại
invoke,viện dẫn
irrelevant,không liên quan đến lập luận
jail sentence,án tù
judge,thẩm phán
juror,thành viên bồi thẩm đoàn
jury,bồi thẩm đoàn
justify,chứng minh là hợp lý
lament,than phiền; tiếc nuối
lead to,dẫn đến
lend support to,ủng hộ cho
lenient,khoan dung
life imprisonment,tù chung thân
likelihood,khả năng xảy ra
logically follow,theo logic suy ra
lucid,"rõ ràng, dễ hiểu"
magnitude,"quy mô, độ lớn"
maintain,duy trì; cho rằng
manslaughter,ngộ sát
marginal,không đáng kể; cận biên
misdemeanor,khinh tội
misinterpret,diễn giải sai
misleading,gây hiểu lầm
mitigate,giảm nhẹ
murder,giết người
mutually exclusive,loại trừ lẫn nhau
notion,"khái niệm, ý niệm"
notwithstanding,mặc dù
nuance,sắc thái tinh tế
objection,phản đối (trong xét hỏi)
objective,khách quan; mục tiêu
obscure,che khuất; khó hiểu
omit,bỏ sót
ostensibly,bề ngoài có vẻ
out of scope,ngoài phạm vi
outcome,kết quả
overgeneralize,khái quát hóa quá mức
overlook,bỏ sót yếu tố quan trọng
overlooked factor,yếu tố bị bỏ qua
paradox,nghịch lý cần được giải thích
parameter,tham số/giới hạn
partial,thiên vị; không đầy đủ
peculiar,kỳ lạ; đặc thù
perceive,nhận thức
pertain to,liên quan đến
pertinent,liên quan trực tiếp
plaintiff,nguyên đơn
plausible,có vẻ hợp lý
plead guilty,nhận tội
plead not guilty,không nhận tội
postulate,giả định
pragmatic,thực dụng
precedent,tiền lệ
precise,chính xác
preclude,ngăn cản; loại trừ khả năng
predict,dự đoán
predominant,chủ yếu
premise,tiền đề
presume,cho rằng
presumption of innocence,nguyên tắc suy đoán vô tội
presuppose,ngầm giả định
prior to,trước khi
probability,xác suất
probation,án treo
proponent,người ủng hộ
proportion,tỷ lệ
prosecute,truy tố
prosecutor,công tố viên
prospect,triển vọng
provided that,với điều kiện là
provisional,tạm thời
qualification,sự giới hạn phát biểu
qualify (a claim),giới hạn/điều chỉnh phát biểu
qualify a claim,giới hạn luận điểm
quantify,định lượng
rationale,"lý do, cơ sở lập luận"
rebut,bác bỏ
reconcile,hòa giải; dung hòa
redundant,thừa
refute,bác bỏ bằng chứng
reinforce,củng cố
reluctant,miễn cưỡng
rely on,dựa vào
remedy,biện pháp khắc phục
representative,có tính đại diện
resilient,kiên cường; có khả năng phục hồi
resolution,giải pháp; sự phân giải
restrain,kiềm chế; hạn chế
result from,bắt nguồn từ
retain,giữ lại
reveal,tiết lộ
rigorous,nghiêm ngặt
risk,rủi ro
rule of law,thượng tôn pháp luật
salient,nổi bật; quan trọng
sample,mẫu
scope,phạm vi áp dụng
scrutinize,xem xét kỹ
seemingly inconsistent,dường như không nhất quán
sentence,bản án / hình phạt
sentence (verb),kết án
significant,đáng kể về mặt thống kê / logic
simultaneously,đồng thời
skeptical,hoài nghi
speculate,suy đoán
spur,"thúc đẩy, dẫn đến"
spurious,"giả, không có thật (quan hệ nhân quả)"
stance,lập trường
statistical,thuộc thống kê
strengthen,làm mạnh lập luận
subsequent,sau đó
substantiate,chứng minh bằng bằng chứng
subtle,tinh tế
sufficient,đủ
surmise,phỏng đoán
sustain,duy trì
take for granted,coi là hiển nhiên
tentative,tạm thời; chưa chắc
testify,làm chứng
testimony,lời khai
theft,trộm cắp
thereby,do đó
thrive,phát triển mạnh
trace (to),truy về nguồn gốc
transient,tạm thời
trial,phiên tòa xét xử
uncertain,không chắc chắn
underlying assumption,giả định nền tảng
undermine,làm suy yếu lập luận
unless,trừ khi
unprecedented,chưa từng có
validate,xác thực; xác nhận
variable,biến số
verdict,phán quyết (của bồi thẩm đoàn)
viable,khả thi (dài hạn)
warrant,bảo đảm; làm cho xứng đáng
warrant (n.),giả định cần thiết
weaken,làm suy yếu
whereas,trong khi (đối lập)
witness,nhân chứng
